table_name,session_id,metric,tested_values,iqr_outliers,modified_z_outliers,consensus_outliers,status
lap,42,sector3_time_ms,541,22,16,16,completed
lap,42,speed_i1,541,3,2,2,completed
lap,42,speed_i2,541,8,2,2,completed
lap,42,speed_fl,541,50,30,30,completed
lap,42,speed_st,541,20,8,8,completed
lap,44,lap_time_ms,804,22,15,15,completed
lap,44,sector1_time_ms,785,11,5,5,completed
lap,44,sector2_time_ms,804,9,6,6,completed
lap,44,sector3_time_ms,804,20,13,13,completed
lap,44,speed_i1,804,12,5,5,completed
lap,44,speed_i2,804,71,35,35,completed
lap,44,speed_fl,804,6,5,5,completed
lap,44,speed_st,804,71,47,47,completed
lap,46,lap_time_ms,878,15,11,11,completed
lap,46,sector1_time_ms,858,3,2,2,completed
lap,46,sector2_time_ms,878,14,9,9,completed
lap,46,sector3_time_ms,878,5,3,3,completed
lap,46,speed_i1,878,10,7,7,completed
lap,46,speed_i2,878,5,1,1,completed
lap,46,speed_fl,878,28,28,28,completed
lap,46,speed_st,878,102,71,71,completed
lap,48,lap_time_ms,616,12,10,10,completed
lap,48,sector1_time_ms,598,0,0,0,completed
lap,48,sector2_time_ms,616,1,1,1,completed
lap,48,sector3_time_ms,616,0,0,0,completed
lap,48,speed_i1,616,5,4,4,completed
lap,48,speed_i2,616,16,5,5,completed
lap,48,speed_fl,616,31,56,31,completed
lap,48,speed_st,616,16,8,8,completed
lap,50,lap_time_ms,814,24,21,21,completed
lap,50,sector1_time_ms,794,17,2,2,completed
lap,50,sector2_time_ms,814,12,7,7,completed
lap,50,sector3_time_ms,814,20,12,12,completed
lap,50,speed_i1,814,11,5,5,completed
lap,50,speed_i2,814,8,4,4,completed
lap,50,speed_fl,814,3,8,3,completed
lap,50,speed_st,814,26,25,25,completed
lap,52,lap_time_ms,964,9,247,9,completed
lap,52,sector1_time_ms,964,0,246,0,completed
lap,52,sector2_time_ms,964,56,235,56,completed
lap,52,sector3_time_ms,964,29,250,29,completed
lap,52,speed_i1,964,10,27,10,completed
lap,52,speed_i2,964,6,5,5,completed
lap,52,speed_fl,964,16,1,1,completed
lap,52,speed_st,964,153,114,114,completed
lap,56,lap_time_ms,1060,7,1,1,completed
lap,56,sector1_time_ms,1060,32,10,10,completed
lap,56,sector2_time_ms,1060,11,3,3,completed
lap,56,sector3_time_ms,1060,14,3,3,completed
lap,56,speed_i1,1060,20,11,11,completed
lap,56,speed_i2,1060,19,14,14,completed
lap,56,speed_fl,1060,32,20,20,completed
lap,56,speed_st,1060,132,110,110,completed
lap,60,lap_time_ms,755,19,18,18,completed
lap,60,sector1_time_ms,734,7,1,1,completed
lap,60,sector2_time_ms,754,9,5,5,completed
lap,60,sector3_time_ms,754,6,3,3,completed
lap,60,speed_i1,755,9,3,3,completed
lap,60,speed_i2,755,6,3,3,completed
lap,60,speed_fl,755,18,5,5,completed
lap,60,speed_st,755,1,1,1,completed
lap,62,lap_time_ms,1025,30,21,21,completed
lap,62,sector1_time_ms,1005,14,6,6,completed
lap,62,sector2_time_ms,1025,33,18,18,completed
lap,62,sector3_time_ms,1025,50,17,17,completed
lap,62,speed_i1,1025,37,28,28,completed
lap,62,speed_i2,1025,10,1,1,completed
lap,62,speed_fl,1025,11,8,8,completed
lap,62,speed_st,1025,2,11,2,completed
lap,66,lap_time_ms,911,34,22,22,completed
lap,66,sector1_time_ms,893,5,0,0,completed
lap,66,sector2_time_ms,911,23,9,9,completed
lap,66,sector3_time_ms,911,14,1,1,completed
lap,66,speed_i1,911,1,0,0,completed
lap,66,speed_i2,911,11,1,1,completed
lap,66,speed_fl,911,2,1,1,completed
lap,66,speed_st,911,4,4,4,completed
lap,68,lap_time_ms,790,17,10,10,completed
lap,68,sector1_time_ms,790,24,8,8,completed
lap,68,sector2_time_ms,790,16,5,5,completed
lap,68,sector3_time_ms,790,14,6,6,completed
lap,68,speed_i1,790,3,1,1,completed
lap,68,speed_i2,790,13,9,9,completed
lap,68,speed_fl,790,2,108,2,completed
lap,68,speed_st,790,0,12,0,completed
lap,72,lap_time_ms,629,1,0,0,completed
lap,72,sector1_time_ms,629,8,1,1,completed
lap,72,sector2_time_ms,629,0,0,0,completed
lap,72,sector3_time_ms,629,17,4,4,completed
lap,72,speed_i1,629,21,1,1,completed
lap,72,speed_i2,629,9,0,0,completed
lap,72,speed_fl,629,23,9,9,completed
lap,72,speed_st,629,17,8,8,completed
lap,74,lap_time_ms,1069,36,21,21,completed
lap,74,sector1_time_ms,1049,30,19,19,completed
lap,74,sector2_time_ms,1069,24,13,13,completed
lap,74,sector3_time_ms,1069,32,15,15,completed
lap,74,speed_i1,1069,19,14,14,completed
lap,74,speed_i2,1069,49,11,11,completed
lap,74,speed_fl,1069,185,163,163,completed
lap,74,speed_st,1069,95,67,67,completed
lap,76,lap_time_ms,770,47,22,22,completed
lap,76,sector1_time_ms,750,41,25,25,completed
lap,76,sector2_time_ms,770,42,19,19,completed
lap,76,sector3_time_ms,770,12,2,2,completed
lap,76,speed_i1,770,21,7,7,completed
lap,76,speed_i2,770,2,2,2,completed
lap,76,speed_fl,770,4,1,1,completed
lap,76,speed_st,770,28,21,21,completed
lap,82,lap_time_ms,770,1,0,0,completed
lap,82,sector1_time_ms,770,7,2,2,completed
lap,82,sector2_time_ms,770,3,0,0,completed
lap,82,sector3_time_ms,770,4,2,2,completed
lap,82,speed_i1,770,17,5,5,completed
lap,82,speed_i2,770,11,7,7,completed
lap,82,speed_fl,770,3,3,3,completed
lap,82,speed_st,770,5,1,1,completed
lap,84,lap_time_ms,1298,27,20,20,completed
lap,84,sector1_time_ms,1278,35,20,20,completed
lap,84,sector2_time_ms,1298,28,20,20,completed
lap,84,sector3_time_ms,1298,29,17,17,completed
lap,84,speed_i1,1298,44,34,34,completed
lap,84,speed_i2,1298,58,28,28,completed
lap,84,speed_fl,1298,9,4,4,completed
lap,84,speed_st,1298,158,155,155,completed
lap,86,lap_time_ms,909,11,1,1,completed
lap,86,sector1_time_ms,909,20,7,7,completed
lap,86,sector2_time_ms,909,9,1,1,completed
lap,86,sector3_time_ms,909,12,1,1,completed
lap,86,speed_i1,909,31,0,0,completed
lap,86,speed_i2,909,16,4,4,completed
lap,86,speed_fl,909,137,108,108,completed
lap,86,speed_st,909,57,41,41,completed
lap,88,lap_time_ms,1036,19,16,16,completed
lap,88,sector1_time_ms,1016,11,4,4,completed
lap,88,sector2_time_ms,1036,22,8,8,completed
lap,88,sector3_time_ms,1036,9,4,4,completed
lap,88,speed_i1,1036,2,2,2,completed
lap,88,speed_i2,1036,36,13,13,completed
lap,88,speed_fl,1036,5,5,5,completed
lap,88,speed_st,1036,23,8,8,completed
