source,table_name,row_identifier,target_column,check_id,issue_code,missing_class,missing_information_area,outlier_metric,outlier_consensus_score,cleaning_action,old_value,new_value,reason
general_dqa,lap,lap_id=16346,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16346,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16347,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16347,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16348,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16348,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16349,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16349,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16350,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16350,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16351,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16351,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16352,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16352,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16353,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16353,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16354,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16354,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16355,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16355,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16356,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16356,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16357,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16357,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16358,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16358,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16359,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16359,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16360,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16360,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16361,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16361,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16362,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
