SeasonYear,SeasonStartDate,SeasonEndDate,NumberOfEvents,ChampionDriver,ChampionTeam
2021,2021-03-28,2021-12-12,22,Max Verstappen,Mercedes
2022,2022-03-20,2022-11-20,22,Max Verstappen,Red Bull Racing RBPT
