track_status_id,time_ms,status,message,session_id
566,4747156,2,Yellow,59
567,4766084,1,AllClear,59
568,4766833,2,Yellow,59
569,4768389,1,AllClear,59
570,3133,2,Yellow,60
571,12284,1,AllClear,60
572,14876,2,Yellow,60
573,708278,1,AllClear,60
574,1240673,2,Yellow,60
575,1267849,1,AllClear,60
576,3097173,2,Yellow,60
577,3103773,1,AllClear,60
578,3107484,2,Yellow,60
579,3127769,1,AllClear,60
580,3134690,2,Yellow,60
581,3144748,1,AllClear,60
582,4690247,2,Yellow,60
583,4749213,6,VSCDeployed,60
584,4866431,7,VSCEnding,60
585,4880621,1,AllClear,60
586,5186185,2,Yellow,60
587,5192065,1,AllClear,60
588,7365972,2,Yellow,60
589,7402133,6,VSCDeployed,60
590,7647871,7,VSCEnding,60
591,7660908,1,AllClear,60
592,9508902,2,Yellow,60
593,0,2,Yellow,61
594,5835,1,AllClear,61
595,1914119,2,Yellow,61
596,1934046,1,AllClear,61
597,2639838,2,Yellow,61
598,2684560,1,AllClear,61
599,2689708,2,Yellow,61
600,2758347,5,Red,61
601,3304902,1,AllClear,61
602,5081378,2,Yellow,61
603,5090389,1,AllClear,61
604,0,2,Yellow,62
605,361850,1,AllClear,62
606,4366079,2,Yellow,62
607,4391665,6,VSCDeployed,62
608,4555176,7,VSCEnding,62
609,4569743,1,AllClear,62
610,5272759,2,Yellow,62
611,5290130,6,VSCDeployed,62
612,5375617,7,VSCEnding,62
613,5389731,1,AllClear,62
614,7595092,2,Yellow,62
615,7639350,4,SCDeployed,62
616,8285440,1,AllClear,62
617,0,1,AllClear,63
618,1169902,2,Yellow,63
619,1182043,1,AllClear,63
620,4113612,2,Yellow,63
621,4134151,1,AllClear,63
622,4514490,2,Yellow,63
623,4516245,1,AllClear,63
624,0,1,AllClear,64
625,3746276,2,Yellow,64
626,3758097,5,Red,64
627,6842388,1,AllClear,64
628,7913059,2,Yellow,64
629,7923034,1,AllClear,64
630,10558711,2,Yellow,64
631,10571429,4,SCDeployed,64
632,11091200,1,AllClear,64
633,12051705,2,Yellow,64
634,12167062,1,AllClear,64
635,0,1,AllClear,65
636,4154651,2,Yellow,65
637,4171948,5,Red,65
638,4455843,1,AllClear,65
639,4972455,2,Yellow,65
640,4978841,5,Red,65
641,5280438,1,AllClear,65
642,485416,1,AllClear,66
643,6538964,2,Yellow,66
644,6554531,1,AllClear,66
645,7758938,2,Yellow,66
646,7761419,1,AllClear,66
647,7766637,2,Yellow,66
648,7818024,6,VSCDeployed,66
649,7966453,7,VSCEnding,66
650,7978041,1,AllClear,66
651,0,1,AllClear,67
652,0,1,AllClear,68
653,920751,2,Yellow,68
654,923161,1,AllClear,68
655,924861,2,Yellow,68
656,927740,1,AllClear,68
657,2622474,2,Yellow,68
658,2637738,1,AllClear,68
659,4315277,2,Yellow,68
660,4335584,4,SCDeployed,68
661,4682505,1,AllClear,68
662,4878845,2,Yellow,68
663,4897000,1,AllClear,68
664,6421605,2,Yellow,68
665,6427661,1,AllClear,68
666,7504377,2,Yellow,68
667,7547311,6,VSCDeployed,68
668,7605700,7,VSCEnding,68
669,7664438,1,AllClear,68
670,0,1,AllClear,69
671,0,2,Yellow,70
672,256015,1,AllClear,70
673,3767449,2,Yellow,70
674,3780518,1,AllClear,70
675,3815598,6,VSCDeployed,70
676,3942914,7,VSCEnding,70
677,3953098,1,AllClear,70
678,6701509,2,Yellow,70
679,6716165,1,AllClear,70
680,7244321,2,Yellow,70
681,7246696,1,AllClear,70
682,7759027,2,Yellow,70
683,7761966,1,AllClear,70
684,7766516,2,Yellow,70
685,7768570,1,AllClear,70
686,9419872,2,Yellow,70
687,9456563,6,VSCDeployed,70
688,9567997,7,VSCEnding,70
689,9581769,1,AllClear,70
690,0,2,Yellow,71
691,1659289,1,AllClear,71
692,89745,1,AllClear,72
693,1837879,2,Yellow,72
694,1869838,1,AllClear,72
695,3806855,2,Yellow,72
696,3812069,1,AllClear,72
697,3918853,2,Yellow,72
698,3951780,4,SCDeployed,72
699,4377770,1,AllClear,72
700,8920049,2,Yellow,72
701,9056014,1,AllClear,72
702,0,1,AllClear,73
703,2466805,5,Red,73
704,2680162,1,AllClear,73
705,4754094,2,Yellow,73
706,4761101,1,AllClear,73
707,4881815,2,Yellow,73
708,4926684,1,AllClear,73
709,0,1,AllClear,74
710,3820534,2,Yellow,74
711,3826992,1,AllClear,74
712,3984939,2,Yellow,74
713,3988074,1,AllClear,74
714,7079631,2,Yellow,74
715,7140629,1,AllClear,74
716,7319716,2,Yellow,74
717,7348234,6,VSCDeployed,74
718,7563103,7,VSCEnding,74
719,7576780,1,AllClear,74
720,7981978,2,Yellow,74
721,8058971,4,SCDeployed,74
722,8626597,1,AllClear,74
723,0,2,Yellow,75
724,183070,1,AllClear,75
727,512384,1,AllClear,76
728,4698928,2,Yellow,76
729,4708703,1,AllClear,76
730,4709579,2,Yellow,76
731,4730912,6,VSCDeployed,76
732,4801263,7,VSCEnding,76
733,4814670,1,AllClear,76
734,7782002,2,Yellow,76
735,7843523,4,SCDeployed,76
736,0,1,AllClear,77
737,1259009,2,Yellow,77
738,1259881,1,AllClear,77
739,1311595,2,Yellow,77
740,1323776,1,AllClear,77
741,1360991,2,Yellow,77
742,1363330,1,AllClear,77
743,1543598,2,Yellow,77
744,1547906,1,AllClear,77
745,1996540,2,Yellow,77
746,2014076,1,AllClear,77
747,4199063,2,Yellow,77
748,4223920,1,AllClear,77
749,897999,1,AllClear,78
750,2888380,2,Yellow,78
751,4787419,1,AllClear,78
752,5846264,2,Yellow,78
753,6406991,1,AllClear,78
754,7726566,2,Yellow,78
755,7728063,1,AllClear,78
756,8482302,2,Yellow,78
757,8488424,1,AllClear,78
758,8505120,2,Yellow,78
759,8617736,4,SCDeployed,78
760,9005688,1,AllClear,78
761,10291439,2,Yellow,78
762,10328287,6,VSCDeployed,78
763,10500727,7,VSCEnding,78
764,10511300,1,AllClear,78
765,10845695,2,Yellow,78
766,10867906,1,AllClear,78
767,10873091,2,Yellow,78
768,10922127,6,VSCDeployed,78
769,11006325,7,VSCEnding,78
770,11018220,1,AllClear,78
771,11129126,2,Yellow,78
772,11216303,6,VSCDeployed,78
773,11455964,7,VSCEnding,78
774,11470227,1,AllClear,78
775,11820351,2,Yellow,78
776,11826680,1,AllClear,78
777,12168614,2,Yellow,78
778,12209510,4,SCDeployed,78
779,12798832,1,AllClear,78
780,0,1,AllClear,79
781,0,1,AllClear,80
782,3772655,2,Yellow,80
783,3792328,1,AllClear,80
784,3827819,2,Yellow,80
785,3850000,4,SCDeployed,80
786,4032953,5,Red,80
787,11027299,1,AllClear,80
788,0,1,AllClear,81
789,0,1,AllClear,82
790,606521,2,Yellow,82
791,608261,1,AllClear,82
792,885524,2,Yellow,82
793,887025,1,AllClear,82
794,888446,2,Yellow,82
795,890265,1,AllClear,82
796,930757,2,Yellow,82
797,934166,1,AllClear,82
798,3774062,2,Yellow,82
799,3778311,1,AllClear,82
800,5554068,2,Yellow,82
801,5586788,4,SCDeployed,82
802,6114800,1,AllClear,82
803,6185660,2,Yellow,82
804,6193471,4,SCDeployed,82
805,6739096,1,AllClear,82
806,0,2,Yellow,83
807,238502,1,AllClear,83
808,1887365,2,Yellow,83
809,1889637,1,AllClear,83
810,2936,2,Yellow,84
811,391711,1,AllClear,84
812,9094690,2,Yellow,84
813,9117090,6,VSCDeployed,84
814,9170946,7,VSCEnding,84
815,9182399,1,AllClear,84
816,0,1,AllClear,85
817,3931530,2,Yellow,85
818,3945795,5,Red,85
819,4221300,1,AllClear,85
820,810735,1,AllClear,86
821,3754787,2,Yellow,86
822,3764831,4,SCDeployed,86
823,4372027,1,AllClear,86
824,4429890,2,Yellow,86
825,4441337,1,AllClear,86
826,7902913,2,Yellow,86
827,7965520,6,VSCDeployed,86
828,8123432,4,SCDeployed,86
829,8712153,1,AllClear,86
830,0,1,AllClear,87
831,1153140,2,Yellow,87
832,1155716,1,AllClear,87
833,0,1,AllClear,88
834,139161,2,Yellow,88
835,141239,1,AllClear,88
836,7217981,2,Yellow,88
837,7227096,1,AllClear,88
